,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,TEMP,TEMP_ATTRIBUTES,DEWP,DEWP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,STP,STP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES,MXSPD,GUST,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNDP,FRSHTT,WC
16,16,16,16,16,16,16,16,16,16,16,16,16,16,72429793812,2017-01-17,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",55.5,24,51.9,24,1015.2,15,997.0,24,7.9,24,8.3,24,14.0,21.0,64.9, ,37.9, ,0.39,G,999.9,10000,9999.9
17,17,17,17,17,17,17,17,17,17,17,17,17,17,72429793812,2017-01-18,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",42.9,24,38.3,24,1020.7,19,2.5,24,10.0,24,7.2,24,14.0,21.0,48.9,*,39.0,*,0.28,G,999.9,10000,38.525435362219554
18,18,18,18,18,18,18,18,18,18,18,18,18,18,72429793812,2017-01-19,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",43.0,24,38.5,24,1018.3,23,0.2,24,9.5,24,2.6,24,6.0,999.9,51.1, ,36.0, ,0.0,G,999.9,0,9999.9
19,19,19,19,19,19,19,19,19,19,19,19,19,19,72429793812,2017-01-20,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",53.5,24,49.7,24,1006.7,18,988.4,24,8.6,24,7.1,24,13.0,999.9,63.0, ,36.0, ,0.57,G,999.9,10000,9999.9
20,20,20,20,20,20,20,20,20,20,20,20,20,20,72429793812,2017-01-21,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",49.8,24,47.6,24,1005.9,18,988.4,24,6.9,24,1.5,24,8.0,999.9,64.0, ,37.9, ,0.02,G,999.9,100000,9999.9
21,21,21,21,21,21,21,21,21,21,21,21,21,21,72429793812,2017-01-22,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",51.7,24,48.5,24,1000.8,21,983.3,24,6.2,24,2.8,24,8.9,999.9,64.0, ,37.9, ,0.0,G,999.9,100000,9999.9
22,22,22,22,22,22,22,22,22,22,22,22,22,22,72429793812,2017-01-23,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",51.4,24,47.3,24,998.4,16,980.9,24,8.0,24,9.9,24,17.1,25.1,64.0, ,41.0, ,0.03,G,999.9,10000,9999.9
23,23,23,23,23,23,23,23,23,23,23,23,23,23,72429793812,2017-01-24,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",43.9,24,39.9,24,1009.5,20,991.1,24,9.8,24,6.9,23,11.1,15.0,57.0, ,42.1, ,0.08,G,999.9,10000,39.891280747511296
24,24,24,24,24,24,24,24,24,24,24,24,24,24,72429793812,2017-01-25,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",43.7,24,39.4,24,1007.1,21,988.8,24,8.8,24,5.6,24,20.0,26.0,60.1, ,30.9, ,0.0,G,999.9,0,40.41422963306634
25,25,25,25,25,25,25,25,25,25,25,25,25,25,72429793812,2017-01-26,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",40.2,24,32.6,24,1007.9,20,990.7,24,9.4,24,11.6,24,22.0,27.0,60.1, ,30.9, ,0.0,G,999.9,11000,33.24557770207057
26,26,26,26,26,26,26,26,26,26,26,26,26,26,72429793812,2017-01-27,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",32.6,24,25.8,24,1015.6,12,997.6,24,8.5,24,10.9,24,15.0,19.0,36.0, ,30.0, ,0.01,G,999.9,1000,24.03303784586386
27,27,27,27,27,27,27,27,27,27,27,27,27,27,72429793812,2017-01-28,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",32.1,24,23.1,24,1012.4,20,994.1,24,10.0,24,10.5,24,18.1,27.0,39.0, ,26.1, ,0.01,G,999.9,0,23.601564840361064
28,28,28,28,28,28,28,28,28,28,28,28,28,28,72429793812,2017-01-29,39.106,-84.41609,144.8,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",32.5,24,25.5,24,1010.8,20,992.5,24,8.3,24,6.5,24,11.1,999.9,39.0, ,26.1, ,0.0,G,999.9,1000,26.450989759868836
